bal,brick,dist,floor,kitsp,livsp,metrdist,price,rooms,tel,totsp,walk
0,1,7.895,0,9.5,54,7,75,3,1,80,1
1,1,6.6,1,8.4,52,4,110,3,1,83,1
1,0,16.5,1,8,39.5,10,63,3,1,60.8,1
1,1,1.84,0,8.3,53,10,101,3,1,72,1
0,1,1.65,1,7,63,10,142,3,1,88,1
1,1,1.805,0,8,52,5,100,3,1,75,1
1,1,8.2,1,8.5,49,5,103,3,1,76,1
0,1,7.485,1,9,67,15,85,3,0,85,1
1,0,15.1,1,6,33.9,10,40.5,3,1,50.5,0
1,1,13.5,1,5.2,35.7,4,47,3,1,53.5,0
0,0,14.15,0,6.8,45,7,40.5,3,1,61.5,0
1,0,4.735,1,11,44,10,65,3,1,66,1
0,1,3.5,1,6.7,43,2,76,3,0,67,1
1,1,4.45,1,9,47,10,93,3,1,74,0
1,0,15.2,0,6.3,42,10,47,3,1,60.8,0
1,0,15.3,0,6.6,45.3,5,53,3,1,64.3,1
1,1,7.7,0,8,53,3,86,3,1,80,1
1,0,7.76,1,10,46,7,115,3,1,76,1
1,0,12.8,1,8,44,7,82,3,1,74,0
1,0,11.8,1,6.8,45.1,15,53,3,1,62.6,1
1,0,11.9,1,5.7,37,5,40,3,1,56,1
1,0,13.5,1,6,44,10,57,3,1,59,0
1,0,11.475,1,8.5,42,10,58,3,0,76,0
1,0,13.7,1,6.2,44.7,2,48,3,1,59.3,0
1,1,7.245,1,8.5,54.5,7,71,3,1,80,0
1,0,14.17,1,10,44,8,55,3,0,73.8,1
1,0,13.9,1,10,36.5,7,56.5,3,1,65,0
1,1,3.61,1,9.5,46,5,133,3,0,72,1
1,1,3.65,1,9,54,15,185,3,1,77,0
1,0,15.2,1,10.5,45,6,94,3,1,79,1
1,0,17.5,0,8.2,52.4,5,61.5,3,1,73.3,1
1,0,16.335,1,8.5,39,7,56,3,1,62,0
0,1,4.7,1,14,55,5,112,3,1,80,1
1,0,12.75,1,12,67,10,255,3,1,110,1
1,0,12.5,0,10.5,45.6,7,88,3,1,74,0
0,1,0.92,1,9,56.2,10,75,3,1,85,1
1,0,10.4,1,5.5,47,10,41,3,1,58,1
1,1,10.77,1,6,42,15,51,3,1,58,0
0,1,10.43,0,8.5,51,10,60,3,1,72.2,1
1,0,10.2,1,7,44.9,10,74.5,3,1,65.7,0
0,0,12.4,0,7,42,5,49,3,1,59,1
1,0,13.1,1,10.5,45,15,58,3,1,74,1
0,1,2,1,10.4,31,10,79,3,1,61,1
1,0,14,1,8.5,43.3,1,67,3,1,68.7,1
1,0,14.895,0,9.2,39,10,62,3,1,66,1
1,0,12.38,1,7,45,6,67,3,1,65,1
1,0,12.5,1,8.5,47.9,10,53,3,0,83.9,0
1,0,13.5,1,10.2,46.2,12,53.8,3,0,78,0
1,1,13.815,1,5.5,42.4,7,52,3,0,57.8,0
1,1,7.5,0,6,42,7,69,3,1,56.3,0
0,0,11,1,10.2,44.3,10,112.5,3,1,77.1,1
0,1,10,1,7.2,55,5,81,3,1,86,1
0,1,3.8,1,5.6,39.1,7,53,3,1,53.4,0
0,1,2.75,1,8.5,56,4,95,3,1,82,1
1,0,2.8,1,8.2,50.8,5,86,3,1,74.4,1
0,1,2.18,1,9.5,45,5,80,3,1,80,1
1,1,11.665,1,6,41,10,58,3,1,55,0
0,0,12.435,1,9,40.2,10,65,3,0,77,0
1,0,8.5,1,6,44.1,5,49.5,3,1,58.6,1
1,0,3.7,1,8.1,46.3,10,66,3,1,64.7,1
1,0,11.15,1,5.8,37,10,52,3,1,56,0
1,0,12,1,10.5,44.5,15,95,3,1,74,0
1,0,11.3,1,10.5,46,5,85,3,1,77,1
1,0,16.4,1,8.5,45,5,89,3,1,74.4,1
1,0,16.7,1,6,53.5,15,59.5,3,1,68.1,1
1,0,15.5,1,10.1,44,7,95.5,3,1,76.9,1
1,1,4.51,1,8,60,5,80,3,0,91.5,0
1,1,8.87,1,8,49,7,80,3,1,70,1
1,1,1.365,1,9.5,49.2,5,145,3,1,75,0
0,0,4.16,1,8,46.6,10,74,3,1,65.4,1
1,1,5.54,1,9.5,50,5,83,3,1,72.8,1
1,0,13.5,1,10,46,10,120,3,1,75,1
1,1,9.9,1,8.7,53,5,89,3,1,80,0
1,0,8.455,0,9,56.5,15,135,3,1,90,1
1,1,4.4,0,12,66,5,125,3,1,96,1
1,0,9.6,1,8.5,39,7,48,3,1,62,0
1,0,15.3,1,7,43.9,10,69,3,1,63.2,1
1,0,16.5,1,8.5,37.7,7,69,3,1,66,0
1,1,9.145,0,8.5,49,5,90,3,1,71,1
0,1,9.35,1,12,58,3,165,3,1,100,1
1,1,9.5,1,9.5,56,7,207,3,1,81.2,0
0,1,9,1,8.7,52.7,10,95.5,3,1,76.5,1
1,1,9,1,8.5,54.5,12,111.5,3,1,81,1
0,1,9,1,8.5,50.4,12,122,3,1,74.9,1
1,1,8.285,0,10.5,49.7,7,105,3,1,78.4,1
1,1,2.425,1,5.5,36.7,10.5,87,3,1,54.6,0
1,1,3.6,1,5.5,36.7,2,87,3,1,54.6,1
0,1,1.95,1,14,60,7,240,3,1,110,0
1,0,13.5,1,10,60,10,145,3,1,96,1
0,0,12,1,6,40,10,38,3,1,55,1
1,0,12.5,1,9.5,46,12,103,3,1,76,1
1,0,13.7,1,8.5,38.9,12,58.5,3,1,62.7,1
1,0,12.5,1,10.5,45.4,5,106,3,1,76,1
0,0,12,1,8.5,39,1,35,3,0,56.7,1
1,0,14.6,1,8.2,59.7,10,58.5,3,1,61.8,0
1,0,14.995,1,8,38,7,58,3,1,60,0
1,0,15.7,1,6,43.1,10,58,3,1,59.6,0
0,1,6.35,0,8,44.3,15,69,3,1,73.6,1
1,0,14.4,1,10.4,43.7,12,90.5,3,1,74.3,1
1,1,18.6,0,9.5,40,7,68,3,1,66.6,0
1,1,7.5,1,10,59.5,2,89,3,1,92,1
0,1,10.625,0,12,67,5,75,3,1,100,1
0,1,7.5,1,10,58,5,117,3,1,92,1
1,0,12.5,1,9,52,10,76,3,1,76,1
1,1,9.375,1,6,42,10,78,3,1,57,1
1,1,10.3125,1,9.5,50,5,112,3,1,77,1
1,1,5.625,0,8.9,54.6,10,77,3,1,84.6,1
1,1,4.6875,1,11,53,10,92,3,1,83,1
1,1,18.125,1,11,43,7,89,3,1,73,1
